RecordedDate,PID,E1 _1,E1 _2,E1 _3,E2_1,E2_2,E2_3,E3_1,E3_2,E3_3,A1 _1,A1 _2,A1 _3,A2 _1,A2 _2,A2 _3,A3_1,A3_2,A3_3,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,N1_1,N1_2,N1_3,N2_1,N2_2,N2_3,N3_1,N3_2,N3_3,O1_1,O1_2,O1_3,O2_1,O2_2,O2_3,O3_1,O3_2,O3_3,DIAMONDS_1,DIAMONDS_2,DIAMONDS_3,DIAMONDS_4,DIAMONDS_5,DIAMONDS_6,DIAMONDS_7,DIAMONDS_8,Emotion_1,Emotion_2,Emotion_3,Emotion_4,Emotion_5,Emotion_6,Emotion_7,Emotion_8,Di_Sit_1,Di_Sit_2,Di_Sit_3,Di_Sit_4,Di_Sit_5,Di_Sit_6,Di_Sit_7,Di_Sit_8,Di_Sit_9,Di_Sit_10,n
2023-10-26 12:02:41,7,NA,5,1,NA,3,4,NA,2,3,NA,2,2,NA,4,2,NA,4,2,NA,2,2,2,2,NA,NA,2,3,NA,2,2,NA,4,3,1,2,NA,4,NA,3,NA,4,4,3,NA,3,5,5,2,1,3,4,1,5,5,2,3,2,3,4,2,3,1,2,1,2,2,2,2,2,2,1,120
2023-10-26 14:09:19,7,4,NA,2,2,2,NA,2,NA,2,3,4,NA,4,NA,3,3,4,NA,NA,2,2,2,2,NA,1,3,NA,4,2,NA,NA,2,3,2,4,NA,3,3,NA,3,3,NA,NA,2,4,5,5,1,1,3,2,1,5,3,3,2,2,4,4,3,3,1,2,1,2,2,1,1,2,1,1,120
2023-10-26 16:14:49,7,3,NA,3,NA,3,3,3,NA,2,3,NA,3,3,NA,3,NA,2,2,5,NA,2,NA,4,3,2,3,NA,NA,2,3,NA,4,2,4,NA,2,NA,2,4,2,NA,2,2,3,NA,5,5,1,1,3,4,1,3,1,1,4,4,3,4,1,3,1,2,1,2,2,2,2,2,2,1,120
2023-10-26 18:11:58,7,4,NA,2,4,NA,4,NA,5,2,4,NA,2,NA,4,2,3,4,NA,NA,2,3,5,NA,2,1,NA,4,3,NA,4,NA,4,2,NA,5,2,5,NA,5,3,3,NA,3,5,NA,5,5,1,1,3,2,1,5,2,3,2,2,4,3,4,2,1,2,1,2,2,1,2,2,2,2,120
2023-10-27 08:05:31,7,4,4,NA,3,3,NA,3,NA,1,4,4,NA,NA,4,2,4,NA,4,3,NA,2,3,3,NA,4,NA,2,2,NA,5,NA,4,1,NA,4,2,2,NA,4,5,NA,5,2,NA,3,5,5,1,1,2,2,1,5,2,2,2,4,3,3,2,3,1,2,1,2,2,1,2,2,2,2,120
2023-10-27 10:04:12,7,NA,3,2,NA,2,4,NA,3,4,5,5,NA,NA,3,2,3,4,NA,NA,2,2,4,4,NA,NA,2,4,4,NA,4,3,2,NA,2,4,NA,4,3,NA,2,2,NA,4,3,NA,5,5,1,1,4,3,2,3,2,4,2,2,4,4,2,4,1,2,1,1,2,1,2,2,1,2,120
2023-10-27 12:05:26,7,4,NA,2,4,3,NA,NA,3,2,4,NA,2,NA,4,2,4,NA,4,4,2,NA,2,2,NA,4,NA,2,4,NA,2,2,NA,2,4,NA,2,5,NA,3,NA,2,2,NA,4,3,5,5,1,1,4,3,2,3,2,3,2,2,4,3,2,3,2,2,1,2,2,2,2,2,2,2,120
2023-10-27 14:04:44,7,4,NA,2,4,NA,4,NA,3,2,4,NA,2,4,4,NA,4,4,NA,4,NA,2,4,NA,2,NA,2,2,5,1,NA,4,2,NA,NA,4,2,2,NA,2,5,5,NA,4,NA,2,5,5,2,1,1,5,2,5,4,4,4,1,2,5,3,2,1,2,1,2,2,1,2,2,2,1,120
2023-10-27 16:05:43,7,4,4,NA,2,NA,4,2,NA,4,4,4,NA,4,4,NA,4,NA,2,4,NA,2,3,NA,4,3,4,NA,4,1,NA,5,NA,5,2,3,NA,NA,4,2,2,NA,2,NA,2,2,5,5,2,1,2,4,2,5,4,5,4,1,2,4,2,4,1,2,1,2,2,1,2,2,2,1,120
2023-10-27 18:03:19,7,NA,5,2,4,3,NA,4,4,NA,NA,4,2,NA,4,2,4,NA,1,4,NA,2,5,3,NA,4,NA,2,NA,3,5,4,4,NA,2,NA,5,5,2,NA,5,4,NA,NA,4,4,2,2,1,1,5,1,1,4,2,4,2,1,3,2,4,4,1,2,1,2,2,1,2,2,2,2,120
2023-10-28 08:12:56,7,1,1,NA,1,1,NA,1,NA,4,3,NA,2,3,NA,3,3,NA,3,3,NA,3,NA,1,4,NA,3,3,NA,4,5,2,NA,2,NA,4,2,3,NA,2,NA,2,2,4,NA,2,4,5,1,1,5,2,1,2,2,4,2,2,4,3,4,3,2,2,2,2,2,1,2,1,2,2,120
2023-10-28 10:04:29,7,NA,5,1,4,2,NA,4,NA,1,4,2,NA,NA,4,2,NA,2,2,3,NA,4,NA,1,2,4,NA,2,2,NA,4,2,NA,2,2,NA,2,4,NA,4,4,NA,2,4,NA,3,4,5,1,1,5,3,2,5,1,3,2,2,5,2,4,1,2,2,1,2,2,1,2,2,2,2,120
2023-10-28 12:13:56,7,NA,5,2,4,NA,2,NA,4,2,NA,4,1,4,4,NA,4,NA,2,4,NA,2,3,1,NA,5,NA,1,NA,4,5,3,4,NA,NA,4,2,NA,2,4,4,NA,4,NA,2,4,4,4,2,1,5,1,1,5,1,2,2,4,4,2,4,1,2,2,1,2,1,2,2,2,2,2,120
2023-10-28 14:05:54,7,5,5,NA,4,NA,3,4,4,NA,4,4,NA,NA,4,4,4,NA,2,NA,3,2,1,1,NA,NA,2,4,NA,4,5,NA,4,2,4,4,NA,5,NA,4,4,5,NA,NA,4,3,4,5,1,1,4,2,2,5,1,2,2,4,4,2,5,1,2,2,1,2,2,2,2,2,2,2,120
2023-10-28 16:05:52,7,NA,3,2,2,NA,2,NA,2,4,4,4,NA,4,NA,2,NA,2,2,4,2,NA,NA,2,3,2,NA,3,2,NA,4,NA,3,2,NA,4,2,4,4,NA,4,4,NA,2,4,NA,4,5,1,1,4,2,1,3,2,4,2,2,3,2,3,3,2,2,1,2,2,1,2,2,2,1,120
2023-10-28 18:02:22,7,2,NA,4,1,NA,4,NA,2,4,NA,4,3,NA,1,2,NA,2,4,NA,2,4,NA,4,2,NA,3,2,3,NA,3,NA,3,2,NA,4,2,NA,2,3,4,4,NA,2,NA,4,4,5,1,1,4,2,1,2,1,2,2,1,4,3,4,4,1,2,2,2,2,1,2,2,2,2,120
2023-10-29 10:06:16,7,2,NA,3,3,3,NA,NA,3,3,3,3,NA,NA,3,3,3,3,NA,3,3,NA,2,1,NA,2,4,NA,2,NA,5,2,NA,2,NA,4,2,1,NA,1,NA,1,1,5,1,NA,4,5,1,1,4,1,1,2,2,2,4,5,4,2,2,4,2,2,2,2,2,1,2,1,2,2,120
2023-10-29 12:02:10,7,1,NA,4,2,2,NA,1,2,NA,NA,3,3,3,NA,3,NA,3,3,3,NA,3,1,NA,5,NA,4,5,2,2,NA,NA,1,4,4,NA,2,1,4,NA,2,2,NA,4,NA,2,4,5,1,1,3,2,1,3,2,4,4,2,3,2,1,4,2,2,2,2,2,1,2,2,2,1,120
2023-10-29 14:02:49,7,NA,1,5,1,NA,4,NA,1,5,NA,3,3,NA,3,3,NA,3,3,4,NA,1,3,4,NA,NA,2,2,4,2,NA,NA,2,4,NA,4,4,NA,2,4,NA,3,3,NA,3,4,4,5,1,1,3,4,2,3,2,5,4,2,2,4,2,4,1,2,2,2,1,1,1,2,2,1,120
2023-10-29 16:04:05,7,2,2,NA,2,NA,4,NA,4,3,4,NA,2,4,4,NA,NA,4,4,NA,2,2,5,5,NA,NA,1,2,NA,2,4,4,NA,4,NA,4,3,4,2,NA,NA,3,3,2,NA,4,4,5,1,1,4,2,2,5,2,4,2,4,4,3,2,3,1,2,2,2,2,2,2,2,2,2,120
2023-10-29 18:10:30,7,NA,2,4,NA,2,4,1,NA,5,4,4,NA,NA,5,1,NA,2,2,3,3,NA,4,2,NA,4,4,NA,4,NA,4,5,2,NA,2,4,NA,NA,4,2,4,4,NA,2,4,NA,4,5,1,1,4,4,1,1,2,5,2,1,2,4,1,5,1,2,2,2,2,1,2,2,2,2,120
2023-10-30 08:10:38,7,NA,4,2,2,2,NA,2,NA,2,NA,4,4,5,NA,2,NA,2,4,4,NA,2,1,1,NA,3,NA,4,5,1,NA,5,2,NA,2,4,NA,4,2,NA,4,4,NA,4,NA,4,4,5,3,1,3,4,2,5,2,4,4,2,3,4,4,3,1,2,1,2,2,1,2,2,1,2,120
2023-10-30 10:02:55,7,4,4,NA,NA,2,4,3,4,NA,NA,2,2,4,4,NA,4,NA,2,NA,2,2,NA,4,4,4,NA,2,NA,1,3,4,NA,5,NA,4,4,NA,2,2,3,NA,4,2,NA,4,4,5,1,1,4,2,1,2,2,4,4,1,4,4,4,4,1,2,1,2,2,1,2,2,1,2,120
2023-10-30 12:04:06,7,4,NA,2,4,NA,1,5,4,NA,4,NA,2,4,4,NA,5,4,NA,4,NA,1,NA,4,1,NA,1,1,1,NA,5,1,NA,1,5,NA,1,NA,2,4,5,NA,5,1,5,NA,4,5,1,1,3,4,1,4,2,3,2,4,4,3,2,3,1,2,1,2,1,2,2,2,1,2,120
2023-10-30 14:06:48,7,4,4,NA,2,NA,4,NA,1,4,4,4,NA,2,NA,4,3,NA,5,4,NA,2,NA,1,4,4,NA,4,NA,2,4,NA,2,4,NA,2,4,4,2,NA,NA,4,4,4,2,NA,4,5,3,1,2,4,2,5,4,4,4,2,3,5,2,4,1,2,1,2,2,1,2,2,2,1,120
2023-10-30 16:05:11,7,4,4,NA,4,NA,4,NA,2,4,4,2,NA,4,4,NA,4,NA,5,NA,4,4,NA,1,4,NA,2,4,NA,2,3,NA,2,4,NA,2,5,4,NA,4,3,NA,3,3,NA,3,4,5,1,1,4,4,2,4,4,4,4,2,3,4,2,3,1,2,1,2,2,1,2,2,2,1,120
2023-10-30 18:02:36,7,2,NA,4,NA,2,4,NA,4,4,4,4,NA,4,4,NA,4,NA,2,4,NA,2,4,NA,2,4,2,NA,NA,4,4,3,NA,4,4,4,NA,4,2,NA,4,4,NA,NA,4,4,4,5,1,1,4,2,2,4,2,4,2,1,3,3,2,2,1,2,1,2,2,2,2,2,2,1,120
2023-10-31 08:05:05,7,NA,4,2,4,NA,3,1,2,NA,4,NA,2,NA,4,2,4,4,NA,5,4,NA,2,NA,5,4,NA,4,3,NA,3,NA,2,4,2,4,NA,NA,4,4,NA,2,4,NA,2,2,4,5,1,1,4,4,2,3,4,4,2,5,4,3,2,2,2,2,1,2,1,1,2,1,2,1,120
2023-10-31 10:02:57,7,2,1,NA,3,NA,2,4,5,NA,3,NA,2,4,NA,2,NA,2,2,NA,2,2,5,NA,2,NA,4,4,2,NA,4,3,NA,3,NA,4,2,5,2,NA,4,NA,4,2,NA,5,4,5,1,1,4,4,1,4,2,4,3,2,4,2,4,3,1,2,2,2,2,2,2,2,2,2,120
2023-10-31 12:04:28,7,2,4,NA,4,NA,3,NA,2,3,4,2,NA,NA,4,1,5,NA,2,4,NA,2,5,NA,2,4,1,NA,2,NA,4,NA,4,3,4,4,NA,5,2,NA,4,5,NA,1,4,NA,5,5,2,1,4,4,1,5,2,3,4,1,3,4,2,2,1,2,1,2,2,1,2,2,2,2,120
2023-10-31 14:05:25,7,4,2,NA,NA,3,4,2,NA,3,4,NA,2,4,NA,2,4,NA,2,NA,2,2,1,NA,4,4,NA,4,4,NA,4,2,3,NA,NA,4,2,4,NA,4,4,4,NA,2,4,NA,4,5,2,1,3,4,2,5,2,4,2,2,3,4,2,2,1,2,1,2,2,1,1,2,1,1,120
2023-10-31 17:19:48,7,4,4,NA,NA,4,2,3,NA,3,NA,4,2,4,NA,2,NA,2,4,NA,4,2,3,NA,4,4,2,NA,4,NA,4,NA,2,4,4,NA,2,NA,3,3,NA,4,4,2,NA,4,4,5,1,1,4,2,1,4,2,2,2,2,4,3,2,2,1,2,1,2,1,2,2,2,2,2,120
2023-10-31 18:03:58,7,2,NA,4,2,2,NA,4,4,NA,NA,2,2,4,NA,2,4,2,NA,NA,2,2,5,NA,2,4,2,NA,3,3,NA,NA,4,3,4,NA,2,4,NA,4,4,NA,4,NA,2,4,2,2,1,1,5,2,1,4,2,3,1,4,4,2,3,2,1,2,1,2,2,2,2,2,2,2,120
2023-11-01 08:08:45,7,2,NA,4,2,NA,2,1,2,NA,NA,2,2,NA,4,2,4,NA,2,NA,2,2,2,2,NA,NA,4,4,2,NA,4,NA,2,4,NA,4,4,NA,4,2,4,4,NA,4,NA,2,4,5,1,1,4,4,1,2,2,4,4,2,3,4,2,3,2,2,2,1,2,1,2,1,2,1,120
2023-11-01 10:13:01,7,4,2,NA,4,4,NA,2,2,NA,3,NA,4,NA,4,2,2,NA,4,NA,2,2,NA,3,4,NA,4,4,2,NA,4,4,NA,4,3,3,NA,NA,4,3,2,2,NA,2,3,NA,4,5,1,1,4,4,2,3,2,4,3,1,3,4,3,2,1,2,1,2,2,1,2,2,1,2,120
2023-11-01 14:30:05,7,NA,5,2,4,NA,2,4,NA,2,NA,2,2,4,4,NA,4,NA,4,4,NA,2,NA,2,4,4,NA,4,NA,2,4,NA,3,2,4,4,NA,NA,4,3,4,NA,4,4,3,NA,5,5,2,1,3,4,2,5,2,3,4,2,4,3,3,3,1,2,1,2,2,1,2,2,1,1,120
2023-11-01 16:53:20,7,NA,4,2,4,4,NA,3,NA,2,NA,2,2,4,NA,2,4,NA,4,4,NA,2,NA,5,4,5,NA,2,4,NA,4,NA,2,3,4,4,NA,4,NA,4,NA,3,3,1,4,NA,4,5,1,1,4,2,1,4,4,3,2,2,4,2,1,3,1,2,1,2,2,1,2,2,2,2,120
2023-11-01 18:02:41,7,2,NA,2,4,NA,3,3,NA,4,3,NA,3,3,NA,3,NA,3,2,4,NA,3,2,1,NA,NA,3,4,2,NA,4,NA,3,3,NA,4,2,4,2,NA,4,4,NA,3,3,NA,4,5,1,1,4,2,2,3,2,2,2,2,4,3,2,3,2,2,2,2,2,1,2,2,2,1,120
2023-11-02 09:14:27,7,4,2,NA,4,3,NA,NA,4,2,NA,2,2,4,NA,2,4,NA,2,4,NA,4,4,4,NA,4,2,NA,2,NA,3,NA,4,2,4,NA,4,NA,2,4,4,4,NA,NA,5,4,4,5,1,1,4,3,1,5,2,3,2,4,4,2,4,2,1,2,1,2,2,1,2,2,1,2,120
2023-11-02 12:02:06,7,1,NA,4,NA,4,2,NA,2,4,NA,2,2,NA,4,2,3,NA,4,4,2,NA,4,NA,2,5,NA,2,NA,3,3,NA,3,2,2,NA,3,5,NA,4,4,NA,5,2,3,NA,4,5,1,1,4,2,1,3,2,3,2,1,3,2,2,3,1,2,1,2,2,1,2,2,2,2,120
2023-11-02 14:22:44,7,NA,3,2,3,3,NA,2,2,NA,NA,3,2,NA,4,2,NA,4,4,NA,2,2,NA,2,4,2,4,NA,3,NA,2,2,3,NA,NA,3,3,2,3,NA,2,2,NA,NA,2,3,4,5,1,1,2,4,2,5,2,2,2,2,3,4,3,3,1,2,1,2,2,1,2,2,1,2,120
2023-11-02 16:07:36,7,NA,4,2,NA,4,4,4,3,NA,NA,2,2,4,NA,2,NA,2,2,NA,2,3,2,NA,3,4,NA,4,2,NA,4,NA,3,2,4,4,NA,NA,2,2,NA,4,4,3,2,NA,4,5,1,1,5,2,1,5,1,2,2,3,4,2,4,1,2,2,1,2,2,1,2,2,1,1,120
2023-11-02 18:12:28,7,4,NA,2,4,3,NA,NA,4,2,4,NA,2,4,NA,2,NA,2,2,NA,2,2,3,2,NA,4,2,NA,2,NA,4,3,3,NA,NA,4,2,4,3,NA,4,NA,4,NA,3,4,4,5,1,1,3,3,2,5,2,3,3,1,3,3,2,2,2,2,1,2,2,1,2,2,2,1,120
2023-11-03 08:04:29,7,4,NA,4,NA,2,4,NA,2,4,4,2,NA,NA,4,2,4,NA,2,4,2,NA,3,2,NA,4,NA,2,2,NA,4,NA,4,4,4,NA,2,2,NA,3,NA,4,4,NA,4,3,5,5,1,1,2,4,2,5,2,4,4,2,3,4,2,2,2,2,1,2,2,1,2,1,2,1,120
2023-11-03 10:03:25,7,4,4,NA,4,3,NA,3,2,NA,4,4,NA,NA,4,2,4,NA,4,4,NA,2,NA,2,2,4,NA,2,2,2,NA,2,4,NA,NA,4,2,4,2,NA,4,NA,4,NA,4,4,4,4,1,1,5,2,1,5,1,3,1,2,4,2,2,1,1,2,1,2,2,1,2,2,1,2,120
2023-11-03 12:05:23,7,NA,4,2,NA,4,2,4,4,NA,NA,2,2,4,NA,2,4,2,NA,4,2,NA,NA,3,2,4,NA,2,2,2,NA,2,NA,2,2,4,NA,5,NA,4,NA,4,4,1,NA,4,4,5,1,1,5,2,2,5,1,1,1,1,4,2,2,1,1,2,1,2,2,2,2,2,2,1,120
2023-11-03 14:05:36,7,4,NA,2,2,NA,4,NA,1,3,4,4,NA,4,NA,2,4,NA,4,4,NA,2,4,NA,2,4,NA,2,4,NA,2,NA,1,4,NA,4,2,NA,2,4,4,4,NA,NA,4,4,4,4,1,1,2,5,1,5,2,4,5,1,2,5,2,4,1,2,1,2,2,1,2,2,2,1,120
2023-11-03 16:02:26,7,NA,4,2,NA,4,2,4,4,NA,4,2,NA,NA,5,2,4,2,NA,4,NA,2,NA,1,4,3,NA,4,2,2,NA,NA,4,3,4,NA,3,NA,2,4,4,NA,5,NA,4,4,4,5,1,1,4,2,1,5,1,2,1,2,4,2,4,1,1,2,1,2,2,1,2,2,1,1,120
2023-11-03 18:03:14,7,NA,4,4,2,2,NA,NA,4,2,NA,2,2,NA,4,2,4,NA,4,4,NA,2,4,NA,2,NA,2,2,4,2,NA,2,4,NA,NA,4,2,4,NA,4,4,NA,4,2,4,NA,2,2,1,1,4,2,1,5,1,2,2,2,4,4,4,2,1,2,1,2,2,1,1,2,2,2,120
2023-11-04 08:12:09,7,NA,1,4,NA,2,4,NA,1,4,NA,4,4,NA,2,2,3,5,NA,NA,5,5,NA,1,5,2,4,NA,2,NA,4,3,NA,4,4,4,NA,NA,4,2,4,4,NA,4,2,NA,4,5,1,1,2,4,2,4,4,3,2,2,3,4,2,4,2,2,2,2,2,1,2,1,2,1,120
2023-11-04 10:06:36,7,NA,3,2,4,NA,2,4,NA,2,NA,2,2,NA,4,2,4,2,NA,NA,2,2,4,5,NA,4,NA,2,NA,2,4,NA,4,4,3,4,NA,NA,2,4,NA,4,4,NA,4,4,4,5,1,1,4,2,2,5,2,3,2,2,4,3,2,2,1,2,1,2,2,1,2,2,2,2,120
2023-11-04 12:03:05,7,1,NA,4,2,2,NA,NA,2,4,3,NA,4,NA,2,2,2,NA,4,3,NA,4,NA,2,4,2,4,NA,4,4,NA,3,4,NA,4,4,NA,3,2,NA,4,4,NA,2,NA,2,4,5,1,1,4,4,1,2,2,3,4,2,2,4,2,3,2,2,2,2,1,1,2,2,2,1,120
2023-11-04 14:31:12,7,5,4,NA,4,NA,2,4,4,NA,NA,1,2,NA,4,4,4,NA,2,4,2,NA,NA,4,2,NA,2,2,2,NA,4,NA,4,2,4,4,NA,NA,2,4,4,4,NA,2,NA,4,2,4,2,1,5,2,1,5,2,2,2,2,4,2,4,2,2,2,1,2,2,2,2,2,2,2,120
2023-11-04 16:13:18,7,NA,5,2,4,NA,2,4,4,NA,4,NA,2,4,4,NA,4,2,NA,5,NA,2,3,3,NA,NA,4,4,2,NA,2,2,4,NA,NA,4,2,NA,2,4,NA,4,4,2,NA,4,4,4,1,1,5,2,1,5,2,4,2,2,4,3,4,2,2,2,1,2,2,1,2,2,2,1,120
2023-11-04 18:13:07,7,5,5,NA,4,NA,2,NA,2,2,NA,2,2,NA,4,2,4,2,NA,4,2,NA,NA,2,2,4,2,NA,2,NA,4,NA,4,2,NA,4,2,5,2,NA,4,NA,5,2,4,NA,3,4,2,1,4,2,2,5,2,2,2,2,4,2,4,2,2,2,1,2,2,1,2,2,2,1,120
2023-11-05 08:02:43,7,1,1,NA,2,NA,4,1,2,NA,3,3,NA,4,3,NA,NA,4,4,NA,5,5,1,1,NA,2,4,NA,4,2,NA,3,2,NA,NA,4,2,NA,4,2,4,4,NA,4,NA,2,5,5,1,1,3,4,1,3,3,4,3,2,3,4,2,3,2,2,2,2,2,1,2,2,2,1,120
2023-11-05 10:02:49,7,4,4,NA,NA,3,3,4,3,NA,4,NA,2,4,4,NA,NA,2,2,NA,2,2,NA,4,2,NA,2,2,4,3,NA,3,3,NA,2,NA,3,4,NA,4,NA,4,5,2,4,NA,5,5,1,1,4,2,1,5,2,3,3,1,4,3,2,1,1,2,1,2,2,1,2,2,2,2,120
2023-11-05 12:04:08,7,1,1,NA,2,NA,4,2,NA,4,3,3,NA,3,3,NA,4,NA,3,2,NA,4,2,NA,5,2,4,NA,4,2,NA,NA,2,4,3,NA,3,2,4,NA,NA,4,4,NA,2,2,4,4,1,1,2,4,2,2,2,4,2,2,2,4,2,4,2,2,2,2,2,1,2,2,2,1,120
2023-11-05 14:04:07,7,NA,1,4,NA,1,5,1,1,NA,NA,3,4,NA,3,3,NA,3,3,1,4,NA,1,NA,5,NA,5,4,NA,1,4,5,1,NA,3,3,NA,1,NA,1,NA,3,3,5,1,NA,4,4,1,1,3,4,1,1,2,3,3,3,3,3,3,3,2,2,2,2,2,1,2,2,2,1,120
2023-11-05 16:02:50,7,NA,1,5,1,NA,4,1,NA,5,3,3,NA,NA,3,3,3,NA,3,NA,4,4,1,NA,5,2,4,NA,5,2,NA,5,NA,4,NA,3,3,2,4,NA,NA,2,2,4,NA,2,4,4,1,1,2,5,1,2,3,5,3,3,2,4,2,4,2,2,2,2,2,1,2,2,2,1,120
2023-11-05 18:01:59,7,NA,2,3,3,3,NA,NA,2,2,NA,2,3,3,NA,2,4,4,NA,2,NA,4,2,2,NA,NA,2,4,4,NA,2,4,NA,4,NA,2,4,4,2,NA,5,NA,5,1,2,NA,4,5,1,1,4,2,1,2,2,4,2,1,2,4,2,4,2,2,2,2,2,1,2,2,2,1,120
2023-11-06 08:10:04,7,2,NA,4,2,NA,2,1,NA,5,3,NA,3,3,3,NA,3,3,NA,2,NA,4,NA,1,5,2,4,NA,NA,1,3,5,NA,4,2,NA,3,2,NA,2,2,2,NA,4,2,NA,4,5,1,1,3,4,2,2,2,4,4,2,2,4,2,3,2,2,2,1,2,1,2,1,2,1,120
2023-11-06 10:02:18,7,NA,4,2,NA,3,4,2,NA,4,NA,4,3,2,3,NA,3,4,NA,NA,4,4,2,NA,4,3,NA,4,NA,2,2,NA,2,4,3,NA,3,2,4,NA,NA,2,2,NA,2,2,4,5,1,1,3,4,2,3,2,5,4,2,3,5,2,2,1,2,1,1,2,1,2,2,1,1,120
